ds,y
21-Jun-16,1351
22-Jun-16,1308
23-Jun-16,1292
24-Jun-16,1347
25-Jun-16,695
26-Jun-16,643
27-Jun-16,1574
28-Jun-16,1342
29-Jun-16,1337
30-Jun-16,1696
1-Jul-16,1648
2-Jul-16,833
3-Jul-16,627
4-Jul-16,524
5-Jul-16,1576
6-Jul-16,1410
7-Jul-16,1452
8-Jul-16,1386
9-Jul-16,717
10-Jul-16,663
11-Jul-16,1556
12-Jul-16,1281
13-Jul-16,1317
14-Jul-16,1332
15-Jul-16,1541
16-Jul-16,730
17-Jul-16,703
18-Jul-16,1469
19-Jul-16,1175
20-Jul-16,1233
21-Jul-16,1249
22-Jul-16,1322
23-Jul-16,730
24-Jul-16,591
25-Jul-16,1385
26-Jul-16,1322
27-Jul-16,1305
28-Jul-16,1330
29-Jul-16,1370
30-Jul-16,728
31-Jul-16,680
1-Aug-16,1520
2-Aug-16,1420
3-Aug-16,1288
4-Aug-16,1329
5-Aug-16,1317
6-Aug-16,690
7-Aug-16,697
8-Aug-16,1353
9-Aug-16,1207
10-Aug-16,1257
11-Aug-16,1250
12-Aug-16,1351
13-Aug-16,672
14-Aug-16,780
15-Aug-16,1376
16-Aug-16,1350
17-Aug-16,1240
18-Aug-16,1189
19-Aug-16,1342
20-Aug-16,756
21-Aug-16,685
22-Aug-16,1350
23-Aug-16,1166
24-Aug-16,1194
25-Aug-16,1190
26-Aug-16,1224
27-Aug-16,783
28-Aug-16,699
29-Aug-16,1601
30-Aug-16,1910
31-Aug-16,1980
1-Sep-16,1986
2-Sep-16,2579
3-Sep-16,1672
4-Sep-16,1210
5-Sep-16,1334
6-Sep-16,4103
7-Sep-16,4050
8-Sep-16,4002
9-Sep-16,4975
10-Sep-16,1408
11-Sep-16,1142
12-Sep-16,3368
13-Sep-16,3311
14-Sep-16,3635
15-Sep-16,3168
16-Sep-16,4065
17-Sep-16,1036
18-Sep-16,885
19-Sep-16,2930
20-Sep-16,3291
21-Sep-16,2414
22-Sep-16,2500
23-Sep-16,2304
24-Sep-16,1137
25-Sep-16,1091
26-Sep-16,2530
27-Sep-16,2671
28-Sep-16,1658
29-Sep-16,2523
30-Sep-16,2468
1-Oct-16,994
2-Oct-16,917
3-Oct-16,2353
4-Oct-16,2596
5-Oct-16,1298
6-Oct-16,1467
7-Oct-16,1168
8-Oct-16,761
9-Oct-16,733
10-Oct-16,1373
11-Oct-16,1668
12-Oct-16,1598
13-Oct-16,1357
14-Oct-16,1904
15-Oct-16,795
16-Oct-16,412
17-Oct-16,1732
18-Oct-16,1301
19-Oct-16,1465
20-Oct-16,1500
21-Oct-16,1427
22-Oct-16,770
23-Oct-16,643
24-Oct-16,1660
25-Oct-16,1245
26-Oct-16,1347
27-Oct-16,1393
28-Oct-16,1477
29-Oct-16,686
30-Oct-16,664
31-Oct-16,1774
1-Nov-16,1352
2-Nov-16,1154
3-Nov-16,1308
4-Nov-16,1317
5-Nov-16,671
6-Nov-16,609
7-Nov-16,1342
8-Nov-16,1173
9-Nov-16,969
10-Nov-16,1191
11-Nov-16,1067
12-Nov-16,652
13-Nov-16,572
14-Nov-16,1391
15-Nov-16,1307
16-Nov-16,1262
17-Nov-16,1144
18-Nov-16,1236
19-Nov-16,660
20-Nov-16,540
21-Nov-16,1293
22-Nov-16,1206
23-Nov-16,975
24-Nov-16,299
25-Nov-16,602
26-Nov-16,592
27-Nov-16,547
28-Nov-16,1375
29-Nov-16,1156
30-Nov-16,1166
1-Dec-16,1377
2-Dec-16,1359
3-Dec-16,611
4-Dec-16,513
5-Dec-16,1329
6-Dec-16,1243
7-Dec-16,1198
8-Dec-16,1064
9-Dec-16,1244
10-Dec-16,712
11-Dec-16,544
12-Dec-16,1272
13-Dec-16,1216
14-Dec-16,1380
15-Dec-16,1313
16-Dec-16,1714
17-Dec-16,751
18-Dec-16,656
19-Dec-16,1606
20-Dec-16,1254
21-Dec-16,1364
22-Dec-16,1219
23-Dec-16,908
24-Dec-16,509
25-Dec-16,290
26-Dec-16,669
27-Dec-16,1222
28-Dec-16,1185
29-Dec-16,1155
30-Dec-16,956
31-Dec-16,449
1-Jan-17,353
2-Jan-17,921
3-Jan-17,1527
4-Jan-17,1298
5-Jan-17,1216
6-Jan-17,1145
7-Jan-17,653
8-Jan-17,610
9-Jan-17,1301
10-Jan-17,1095
11-Jan-17,1143
12-Jan-17,1190
13-Jan-17,1188
14-Jan-17,636
15-Jan-17,589
16-Jan-17,816
17-Jan-17,1208
18-Jan-17,1177
19-Jan-17,983
20-Jan-17,1103
21-Jan-17,577
22-Jan-17,487
23-Jan-17,1166
24-Jan-17,1055
25-Jan-17,1120
26-Jan-17,1045
27-Jan-17,1076
28-Jan-17,599
29-Jan-17,551
30-Jan-17,1193
31-Jan-17,1164
1-Feb-17,1227
2-Feb-17,1124
3-Feb-17,1183
4-Feb-17,670
5-Feb-17,446
6-Feb-17,1147
7-Feb-17,1127
8-Feb-17,1206
9-Feb-17,1059
10-Feb-17,1116
11-Feb-17,576
12-Feb-17,604
13-Feb-17,1194
14-Feb-17,964
